City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nikolskoye,59.7035,30.7861,17.11,96,87,1.63,RU,1657396788
1,Kapaa,22.0752,-159.319,26.99,87,100,2.68,US,1657396788
2,Zhuhai,22.2769,113.5678,29.36,94,40,3.09,CN,1657396788
3,Busselton,-33.65,115.3333,13.33,59,92,8.04,AU,1657396788
4,Severo-Kuril'sk,50.6789,156.125,13.43,88,100,4.85,RU,1657396788
5,Taoudenni,22.6783,-3.9836,40.53,6,0,4.8,ML,1657396788
6,Albany,42.6001,-73.9662,27.65,39,0,2.35,US,1657396789
7,Rikitea,-23.1203,-134.9692,23.86,78,70,6.55,PF,1657396789
8,Butaritari,3.0707,172.7902,27.5,79,32,5.51,KI,1657396789
9,Yulara,-25.2406,130.9889,4.97,65,0,3.12,AU,1657396789
10,Basco,20.4487,121.9702,28.99,78,96,6.31,PH,1657396789
11,Barrow,71.2906,-156.7887,11.42,69,92,4.74,US,1657396789
12,Ribeira Grande,38.5167,-28.7,21.22,68,40,5.14,PT,1657396789
13,Kutum,14.2,24.6667,27.71,37,84,2.54,SD,1657396789
14,Isangel,-19.55,169.2667,24.13,83,11,4.38,VU,1657396789
15,Haines Junction,60.7522,-137.5108,17.97,48,100,2.06,CA,1657396789
16,Acoua,-12.7239,45.0582,21.95,62,3,3.9,YT,1657396789
17,Te Anau,-45.4167,167.7167,-0.72,91,42,1.45,NZ,1657396789
18,Batagay,67.6333,134.6333,9.0,81,100,1.89,RU,1657396789
19,Kattivākkam,13.2167,80.3167,29.05,79,100,5.89,IN,1657396790
20,Cairns,-16.9167,145.7667,19.97,83,100,4.63,AU,1657396504
21,Ushuaia,-54.8,-68.3,-2.19,93,100,9.26,AR,1657396787
22,Saint-Pierre,-21.3393,55.4781,20.51,68,0,8.75,RE,1657396585
23,Burgos,42.3394,-3.7079,24.23,38,0,4.12,ES,1657396544
24,Luganville,-15.5333,167.1667,25.52,84,40,3.66,VU,1657396790
25,Cape Town,-33.9258,18.4232,15.77,86,75,4.12,ZA,1657396487
26,Khatanga,71.9667,102.5,7.83,93,100,0.62,RU,1657396790
27,São Filipe,14.8961,-24.4956,23.53,84,43,3.23,CV,1657396790
28,Ponta do Sol,32.6667,-17.1,24.35,75,4,0.62,PT,1657396790
29,Saint Paul Harbor,57.79,-152.4072,10.64,92,100,5.78,US,1657396790
30,Marabu,4.4148,114.0089,23.08,88,20,2.06,MY,1657396790
31,Lebu,-37.6167,-73.65,9.35,83,100,2.18,CL,1657396790
32,Hudiksvall,61.729,17.1036,11.03,75,50,4.03,SE,1657396790
33,Cockburn Town,21.4612,-71.1419,29.98,66,40,7.72,TC,1657396790
34,Goderich,43.7501,-81.7165,19.18,63,4,7.2,CA,1657396791
35,East London,-33.0153,27.9116,20.21,31,0,4.01,ZA,1657396791
36,Departamento de Maldonado,-34.6667,-54.9167,19.57,84,16,5.52,UY,1657396791
37,Tilichiki,60.4667,166.1,14.76,82,20,2.48,RU,1657396791
38,San Patricio,28.017,-97.5169,38.05,32,14,5.79,US,1657396791
39,Ţahţā,26.7693,31.5021,31.71,22,38,4.45,EG,1657396791
40,Bredasdorp,-34.5322,20.0403,12.06,71,0,2.69,ZA,1657396791
41,Punta Arenas,-53.15,-70.9167,1.06,60,20,5.14,CL,1657396791
42,Lüderitz,-26.6481,15.1594,13.14,91,0,4.46,NA,1657396791
43,Airai,-8.9266,125.4092,13.33,94,83,1.7,TL,1657396791
44,Saint-Augustin,51.226,-58.6502,16.69,60,14,8.94,CA,1657396791
45,Jamestown,42.097,-79.2353,26.96,48,0,5.66,US,1657396792
46,Bluff,-46.6,168.3333,1.56,74,61,1.35,NZ,1657396792
47,Thompson,55.7435,-97.8558,22.09,68,75,3.09,CA,1657396792
48,Mahébourg,-20.4081,57.7,20.16,64,20,5.14,MU,1657396792
49,Hobart,-42.8794,147.3294,6.92,90,100,0.89,AU,1657396503
50,Hermanus,-34.4187,19.2345,14.89,80,0,3.7,ZA,1657396764
51,Torbay,47.6666,-52.7314,18.49,79,75,6.69,CA,1657396792
52,Mataura,-46.1927,168.8643,1.38,91,41,0.83,NZ,1657396792
53,Kupang,-10.1667,123.5833,24.17,82,24,6.69,ID,1657396792
54,Ko Samui,9.5357,99.9357,27.44,78,100,8.65,TH,1657396622
55,Norman Wells,65.282,-126.8329,25.02,47,75,5.14,CA,1657396792
56,Faanui,-16.4833,-151.75,25.9,73,79,8.24,PF,1657396792
57,Altay,47.8667,88.1167,13.08,75,3,1.78,CN,1657396792
58,Grand Gaube,-20.0064,57.6608,20.22,68,63,2.24,MU,1657396793
59,Hasaki,35.7333,140.8333,24.22,92,100,8.01,JP,1657396793
60,Saint-Philippe,-21.3585,55.7679,19.77,66,67,6.7,RE,1657396793
61,Daly City,37.7058,-122.4619,27.26,82,7,8.49,US,1657396793
62,Yibin,28.7667,104.6238,27.12,83,5,1.08,CN,1657396793
63,Arraial do Cabo,-22.9661,-42.0278,24.98,88,40,6.69,BR,1657396793
64,Beirut,33.8889,35.4944,26.88,83,40,4.12,LB,1657396546
65,Avarua,-21.2078,-159.775,24.03,60,99,5.66,CK,1657396793
66,Upernavik,72.7868,-56.1549,4.45,83,6,3.95,GL,1657396793
67,Grindavik,63.8424,-22.4338,13.97,94,100,8.75,IS,1657396793
68,Hithadhoo,-0.6,73.0833,27.93,76,6,2.4,MV,1657396793
69,Suntar,62.1444,117.6319,13.97,97,100,2.48,RU,1657396794
70,Iqaluit,63.7506,-68.5145,5.85,81,40,5.14,CA,1657396794
71,Atuona,-9.8,-139.0333,25.48,77,41,8.78,PF,1657396794
72,Lázaro Cárdenas,17.9583,-102.2,30.77,62,52,4.86,MX,1657396794
73,Maxixe,-23.8597,35.3472,18.9,82,20,2.06,MZ,1657396794
74,Qaanaaq,77.484,-69.3632,6.49,75,69,0.55,GL,1657396794
75,Gizo Government Station,-8.103,156.8419,26.78,72,54,2.61,SB,1657396794
76,The Valley,18.217,-63.0578,30.92,70,20,8.23,AI,1657396795
77,Ceres,37.5949,-120.9577,34.89,21,0,3.93,US,1657396795
78,Mnogovershinnyy,53.9353,139.9242,20.7,82,16,1.25,RU,1657396795
79,Vaini,-21.2,-175.2,23.09,83,40,4.12,TO,1657396586
80,Broome,42.2506,-75.833,27.05,41,7,4.02,US,1657396795
81,Riyadh,24.6877,46.7219,35.08,11,100,4.0,SA,1657396561
82,Tortolì,39.9256,9.6572,24.1,47,0,2.28,IT,1657396795
83,Colares,38.7992,-9.4469,31.82,25,0,11.32,PT,1657396795
84,Dovolnoye,54.4958,79.6671,18.4,75,100,2.67,RU,1657396795
85,Codrington,-38.2667,141.9667,5.46,95,2,4.32,AU,1657396795
86,Kampong Thom,12.7111,104.8887,23.71,98,100,1.92,KH,1657396795
87,Pemba,-12.974,40.5178,22.39,88,75,3.6,MZ,1657396795
88,Miles City,46.4083,-105.8406,33.28,31,33,2.77,US,1657396795
89,Puławy,51.4166,21.9694,17.51,74,100,2.55,PL,1657396795
90,Nome,64.5011,-165.4064,21.2,61,0,3.85,US,1657396796
91,Chokurdakh,70.6333,147.9167,10.22,49,51,2.42,RU,1657396796
92,Pevek,69.7008,170.3133,0.22,97,100,5.9,RU,1657396796
93,Souillac,-20.5167,57.5167,20.21,64,20,5.14,MU,1657396796
94,Yellowknife,62.456,-114.3525,20.31,68,75,4.12,CA,1657396796
95,Longhua,23.6137,114.1919,25.39,95,88,0.24,CN,1657396796
96,Kruisfontein,-34.0033,24.7314,21.6,59,0,8.31,ZA,1657396796
97,Hamilton,39.1834,-84.5333,28.62,81,100,0.89,US,1657396796
98,Mar del Plata,-38.0023,-57.5575,14.01,92,75,4.12,AR,1657396624
99,Smoky Lake,54.1169,-112.4686,21.4,49,14,3.6,CA,1657396796
100,Hilo,19.7297,-155.09,28.47,87,76,0.45,US,1657396796
101,Ol'ga,43.7444,135.2892,15.97,92,100,1.84,RU,1657396796
102,Trairi,-3.2778,-39.2689,26.38,74,99,5.23,BR,1657396641
103,Bambous Virieux,-20.3428,57.7575,20.14,64,20,5.14,MU,1657396797
104,Xi'an,34.2583,108.9286,29.45,45,91,1.63,CN,1657396797
105,Tiznit Province,29.5833,-9.5,34.69,16,16,0.69,MA,1657396797
106,Witzenhausen,51.3333,9.8667,18.97,72,100,3.34,DE,1657396797
107,Tūkrah,32.5341,20.5791,26.21,68,10,7.53,LY,1657396797
108,Genhe,50.7833,121.5167,10.84,99,99,1.61,CN,1657396797
109,Ancud,-41.8697,-73.8203,7.9,84,100,6.26,CL,1657396797
110,Aklavik,68.2191,-135.0107,14.0,94,100,5.14,CA,1657396797
111,Alofi,-19.0595,-169.9187,23.94,83,97,6.69,NU,1657396797
112,Vila do Maio,15.1333,-23.2167,25.44,80,48,3.31,CV,1657396797
113,Pisco,-13.7,-76.2167,18.34,77,15,4.12,PE,1657396797
114,Belaya Gora,68.5333,146.4167,9.55,73,4,3.5,RU,1657396798
115,Ugoofaaru,5.6667,73.0,27.89,76,100,8.05,MV,1657396798
116,Yazd,31.8972,54.3675,34.06,11,20,3.09,IR,1657396510
117,Castro,-24.7911,-50.0119,18.82,63,12,1.44,BR,1657396798
118,Alice Springs,-23.7,133.8833,-1.25,93,0,0.0,AU,1657396798
119,Buala,-8.145,159.5921,25.95,80,32,2.16,SB,1657396798
120,Pułtusk,52.7025,21.0828,17.27,82,64,3.32,PL,1657396729
121,Longyearbyen,78.2186,15.6401,7.22,67,76,3.91,SJ,1657396798
122,Roald,62.5833,6.1333,12.87,93,75,6.69,NO,1657396798
123,Mandalgovi,45.7625,106.2708,16.24,56,100,2.77,MN,1657396798
124,Carnarvon,-24.8667,113.6333,19.04,100,75,3.6,AU,1657396798
125,Teya,60.3778,92.6267,16.04,75,96,1.5,RU,1657396798
126,Marsá Maţrūḩ,31.3525,27.2453,26.11,83,40,4.12,EG,1657396557
127,Kavieng,-2.5744,150.7967,27.29,72,72,6.65,PG,1657396749
128,Yar-Sale,66.8333,70.8333,12.82,73,0,3.01,RU,1657396799
129,Port-Gentil,-0.7193,8.7815,22.98,88,75,4.63,GA,1657396799
130,Hofn,64.2539,-15.2082,10.76,89,100,1.2,IS,1657396799
131,Nizwá,22.9333,57.5333,27.33,80,100,1.72,OM,1657396799
132,New Norfolk,-42.7826,147.0587,6.72,87,15,1.14,AU,1657396799
133,Kismayo,-0.3582,42.5454,24.34,80,1,8.51,SO,1657396799
134,Saint George,37.1041,-113.5841,41.46,10,3,2.24,US,1657396799
135,Taree,-31.9,152.4667,5.06,85,1,2.34,AU,1657396799
136,Sturgis,41.7992,-85.4192,26.15,47,0,3.09,US,1657396799
137,Pangnirtung,66.1451,-65.7125,8.0,87,75,9.77,CA,1657396800
138,Mount Gambier,-37.8333,140.7667,0.95,100,100,2.57,AU,1657396800
139,Kamaishi,39.2667,141.8833,20.33,92,77,1.96,JP,1657396800
140,Acapulco de Juárez,16.8634,-99.8901,30.74,70,22,4.93,MX,1657396800
141,Kitimat,54.0524,-128.6534,16.21,24,100,1.3,CA,1657396800
142,San Vicente,-26.6167,-54.1333,23.2,53,17,2.47,AR,1657396801
143,Road Town,18.4167,-64.6167,27.71,80,81,8.57,VG,1657396804
144,Makkah al Mukarramah,21.4267,39.8261,32.51,19,86,1.65,SA,1657396517
145,Puerto Ayora,-0.7393,-90.3518,23.08,86,82,4.02,EC,1657396807
146,Manggar,-2.8833,108.2667,26.8,77,66,4.73,ID,1657396808
147,Praia da Vitória,38.7333,-27.0667,20.98,76,94,5.12,PT,1657396810
148,Kargil,34.5667,76.1,15.9,56,17,1.98,IN,1657396813
149,Pīpri,19.8,75.5333,22.63,90,100,8.29,IN,1657396814
150,Santa Maria,-29.6842,-53.8069,23.61,64,0,3.6,BR,1657396754
151,Tasiilaq,65.6145,-37.6368,8.09,80,99,0.78,GL,1657396816
152,Port Elizabeth,-33.918,25.5701,22.4,35,75,3.6,ZA,1657396518
153,Coyhaique,-45.5752,-72.0662,2.34,100,100,0.89,CL,1657396817
154,Zapolyarnyy,69.4154,30.8136,13.6,85,98,3.19,RU,1657396818
155,Dabat,12.9842,37.765,11.9,90,100,1.11,ET,1657396818
156,Fortuna,40.5982,-124.1573,22.18,70,20,1.79,US,1657396819
157,Nuuk,64.1835,-51.7216,3.82,93,100,3.58,GL,1657396808
158,Mogadishu,2.0371,45.3438,24.2,81,27,8.82,SO,1657396820
159,Lagoa,39.05,-27.9833,19.32,79,96,5.05,PT,1657396822
160,Lompoc,34.6391,-120.4579,31.5,71,5,6.71,US,1657396822
161,Rocha,-34.4833,-54.3333,18.36,88,53,5.49,UY,1657396822
162,Cidreira,-30.1811,-50.2056,17.56,87,47,4.45,BR,1657396823
163,Dayong,25.0209,118.2898,24.95,94,77,0.91,CN,1657396823
164,Sovetskiy,61.3614,63.5842,19.44,71,41,1.23,RU,1657396823
165,Kaitangata,-46.2817,169.8464,1.36,86,56,1.88,NZ,1657396823
166,Jolalpan,18.325,-98.8417,35.3,29,10,1.74,MX,1657396824
167,Ca Mau,9.1769,105.15,24.63,90,100,3.58,VN,1657396824
168,Wanning,18.8003,110.3967,26.55,89,98,1.36,CN,1657396824
169,Chazuta,-6.5742,-76.1367,27.32,87,95,0.8,PE,1657396824
170,Yangi Marg`ilon,40.4272,71.7189,24.17,36,100,1.78,UZ,1657396824
171,Nouakchott,18.0858,-15.9785,23.96,85,84,6.36,MR,1657396712
172,Karratha,-20.7377,116.8463,16.6,34,1,2.41,AU,1657396824
173,Taksimo,56.3444,114.8794,14.28,85,100,1.69,RU,1657396826
174,Hvide Sande,56.0045,8.1294,13.38,73,100,13.91,DK,1657396826
175,Ngunguru,-35.6167,174.5,14.39,90,34,2.69,NZ,1657396826
176,Tuktoyaktuk,69.4541,-133.0374,10.0,93,100,3.6,CA,1657396827
177,Anloga,5.7947,0.8973,25.57,84,100,5.37,GH,1657396827
178,Waingapu,-9.6567,120.2641,23.87,85,97,5.05,ID,1657396827
179,Kamenka,51.3223,42.7678,20.02,65,74,4.61,RU,1657396828
180,Laela,-8.5667,32.05,11.83,75,24,1.43,TZ,1657396828
181,Meadow Lake,34.8014,-106.5436,35.3,24,47,1.21,US,1657396828
182,Guerrero Negro,27.9769,-114.0611,25.5,57,14,7.87,MX,1657396828
183,Muriwai Beach,-36.8167,174.45,13.2,94,7,2.21,NZ,1657396828
184,Agadir,30.4202,-9.5982,31.25,31,82,4.2,MA,1657396562
185,Carutapera,-1.195,-46.02,25.46,91,16,3.31,BR,1657396828
186,George Town,5.4112,100.3354,28.96,83,20,0.0,MY,1657396692
187,Havøysund,70.9963,24.6622,12.13,84,41,3.13,NO,1657396829
188,Ambovombe,-25.1667,46.0833,16.65,69,0,2.83,MG,1657396829
189,Westport,41.1415,-73.3579,30.97,51,1,2.68,US,1657396829
190,Klaksvík,62.2266,-6.589,10.51,98,100,5.52,FO,1657396829
191,Mount Isa,-20.7333,139.5,9.87,53,0,3.09,AU,1657396829
192,Stans,46.9585,8.366,19.95,64,27,2.57,CH,1657396797
193,Eenhana,-17.4667,16.3333,15.36,37,2,1.84,NA,1657396829
194,Naze,28.3667,129.4833,25.78,91,7,4.04,JP,1657396829
195,Kidodi,-7.6036,37.0044,17.82,66,3,0.73,TZ,1657396829
196,Bereda,43.2686,-7.5406,21.75,95,0,2.0,ES,1657396829
197,South Lake Tahoe,38.9332,-119.9844,29.03,26,0,1.79,US,1657396829
198,Santa Isabel Rio Negro,-0.4139,-65.0192,26.53,81,100,1.44,BR,1657396829
199,Kilindoni,-7.9139,39.6668,24.77,72,0,8.33,TZ,1657396830
200,Chara,56.9064,118.2631,12.2,89,100,0.53,RU,1657396830
201,Tarabuco,-19.1667,-64.9167,17.24,29,36,3.85,BO,1657396830
202,Saldanha,-33.0117,17.9442,13.34,93,3,7.41,ZA,1657396830
203,Singaraja,-8.112,115.0882,24.68,80,84,1.58,ID,1657396830
204,Baharly,38.4362,57.4316,27.62,19,0,1.15,TM,1657396830
205,Dikson,73.5069,80.5464,0.55,91,100,3.06,RU,1657396830
206,Sørland,67.667,12.6934,12.92,81,100,3.03,NO,1657396830
207,Hong Kong,22.2855,114.1577,29.62,86,8,5.36,HK,1657396830
208,Vieste,41.8825,16.175,24.01,62,1,8.83,IT,1657396831
209,Praia,14.9215,-23.5087,25.3,73,75,5.14,CV,1657396727
210,Auki,-8.7676,160.7034,24.4,86,28,1.44,SB,1657396832
211,Caxito,-8.5785,13.6643,19.32,94,26,1.61,AO,1657396832
212,Antofagasta,-23.65,-70.4,15.6,78,100,2.83,CL,1657396651
213,Tautira,-17.7333,-149.15,24.83,72,79,7.56,PF,1657396832
214,Bethel,41.3712,-73.414,29.79,42,0,0.45,US,1657396832
215,Chui,-33.6971,-53.4616,16.13,92,83,5.31,UY,1657396832
216,Nānākuli,21.3906,-158.1547,27.28,78,100,1.54,US,1657396833
217,Tommerup,55.3195,10.2066,13.69,73,100,7.59,DK,1657396833
218,Boa Vista,2.8197,-60.6733,28.99,65,75,4.12,BR,1657396833
219,São João da Barra,-21.6403,-41.0511,22.57,80,2,6.1,BR,1657396833
220,Vila Velha,-20.3297,-40.2925,21.08,90,63,4.56,BR,1657396822
221,Muborak,39.2553,65.1528,26.28,21,0,5.63,UZ,1657396833
222,Cherskiy,68.75,161.3,2.81,85,100,6.48,RU,1657396833
223,Pemberton,50.3164,-122.8027,22.05,50,100,1.79,CA,1657396833
224,Būlaevo,54.9056,70.4439,17.49,83,84,3.29,KZ,1657396834
225,Lashio,22.9333,97.75,20.1,99,88,0.07,MM,1657396834
226,Lupiro,-8.3833,36.6667,18.23,66,6,1.88,TZ,1657396834
227,Mehamn,71.0357,27.8492,12.97,76,100,1.03,NO,1657396834
228,Vila Franca do Campo,37.7167,-25.4333,21.22,76,16,4.08,PT,1657396834
229,Fortuna Foothills,32.6578,-114.4119,41.5,9,32,1.79,US,1657396834
230,Macaé,-22.3708,-41.7869,23.86,88,40,5.14,BR,1657396771
231,Talnakh,69.4865,88.3972,8.64,95,100,8.08,RU,1657396835
232,Prince Rupert,54.3161,-130.3201,14.16,92,100,2.46,CA,1657396835
233,Tiksi,71.6872,128.8694,10.9,59,99,4.05,RU,1657396704
234,Paamiut,61.994,-49.6678,4.27,93,100,4.55,GL,1657396835
235,Asifābād,19.3667,79.2833,24.1,95,100,3.95,IN,1657396835
236,Kiryat Gat,31.61,34.7642,25.78,73,0,1.04,IL,1657396835
237,Lincoln,40.8,-96.667,31.82,60,0,1.79,US,1657396795
238,Phuthaditjhaba,-28.5242,28.8158,7.79,45,0,2.84,ZA,1657396836
239,Mackay,-21.15,149.2,8.71,67,0,4.52,AU,1657396836
240,Kumul,42.8,93.45,28.79,14,100,7.35,CN,1657396836
241,Port Alfred,-33.5906,26.891,20.61,34,0,5.71,ZA,1657396837
242,Waddān,29.1614,16.139,28.66,40,0,9.47,LY,1657396837
243,Wellington,-41.2866,174.7756,8.81,82,75,10.29,NZ,1657396837
244,Fare,-16.7,-151.0167,25.35,75,44,7.6,PF,1657396837
245,Eureka,40.8021,-124.1637,26.48,72,27,3.58,US,1657396837
246,Anadyr,64.75,177.4833,8.11,99,100,7.37,RU,1657396818
247,Hobyo,5.3505,48.5268,24.51,78,100,12.33,SO,1657396837
248,Sisimiut,66.9395,-53.6735,6.57,82,100,4.7,GL,1657396838
249,Jacareacanga,-6.2222,-57.7528,31.2,51,91,1.82,BR,1657396838
250,Sembakung,3.8167,117.25,23.6,94,100,0.61,ID,1657396838
251,Port Shepstone,-30.7414,30.455,18.21,80,0,3.24,ZA,1657396838
252,General Escobedo,25.8167,-100.3333,36.15,45,80,4.35,MX,1657396838
253,Cap Malheureux,-19.9842,57.6142,19.7,68,51,2.24,MU,1657396814
254,Saint-Paul,-21.0096,55.2707,20.76,71,89,0.63,RE,1657396642
255,Carahue,-38.7,-73.1667,7.29,94,100,1.44,CL,1657396838
256,Uvalde,29.3669,-99.767,38.51,34,0,3.6,US,1657396839
257,Buraidah,26.326,43.975,32.56,10,98,4.46,SA,1657396839
258,Laas,46.6166,10.7002,15.84,71,94,2.71,IT,1657396839
259,Murud,18.3258,72.965,26.51,87,100,7.11,IN,1657396839
260,Palana,59.1167,159.9667,10.35,98,100,3.26,RU,1657396840
261,Provideniya,64.3833,-173.3,9.34,92,100,3.65,RU,1657396840
262,Wajid,3.8093,43.2471,23.98,59,77,9.74,SO,1657396840
263,Santa Rosalía,27.3167,-112.2833,31.59,50,69,2.92,MX,1657396840
264,Cururupu,-1.8283,-44.8683,26.38,81,55,1.64,BR,1657396840
265,Panabá,21.2833,-88.2667,29.3,70,100,3.73,MX,1657396840
266,Petropavlovsk-Kamchatskiy,53.0452,158.6483,22.33,83,0,3.0,RU,1657396561
267,Valença,-13.3703,-39.0731,22.41,83,78,3.21,BR,1657396840
268,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,32.46,25,28,5.57,AR,1657396841
269,Leningradskiy,69.3833,178.4167,3.94,93,100,4.13,RU,1657396841
